player_name,real_name,nationality,team,player_status
BL4CKSzz,Elias Junior,Brazil,FusioN E-Sport,Active
Blasts,Jamie Levine,United Kingdom,,Active
Blaze,Guy Spencer,United States,,Unknown
BleachiM,Michael Bahouth,Israel,NiBBLE Esports,Active
Blight,Ian Parkinson,United States,,Active
blitziin,Noah Davis,United States,Neanderthals,Active
BlueberrySmalls,,United States,Team Apple Jacks,Retired
BlurrFlavorz,Christopher Martinez,United States,,Active
bNs,Bruno Semeghini,Brazil,,Retired
BobSappAim,,Japan,Knot Not Rank,Retired
BoLin,Shin-Lung Tsai,Taiwan,ANT Esports Club,Active
Boring,,China,,Active
bouhn,Ander Nabi,Estonia,,Active
bowswer,Rafael Canadas,United States,,Active
Bowzey,Thomas Bowes,United Kingdom,,Active
Brad Lusher,Brad Lusher,Australia,,Active
Brans,Brandon Herrera,Chile,FusioN E-Sport,Active
Brasilian,,Japan,Meteor,Active
Braver,,Japan,Radical Pop Gaming,Active
Bravo,Andy Dudynsky,United States,,Unknown
BreaK,Gary Marshall,United Kingdom,Team SoloMid,Retired
Brenin,Tomás Del Canal,Argentina,,Retired
BrittMarie,Robin Jan Synnergren Jonasson,Sweden,,Active
Bronzey,Deston Nguyen,United States,Ghost Gaming,Active
Bruthaman,Chandler Atkinson,United States,,Retired
brynn,Brynn Crompton Corbet,United Kingdom,Invictus Gaming International,Active
BulletL,Louis Borg,Australia,Sutoraiku,Active
BunnyH0p,Noel Chuat,Malaysia,Perangai Gaming,Active
Buttzyy,Luke Butler,United Kingdom,,Retired
Cabbagest,Yosuke Tamura,Japan,Meteor,Active
CacaLL,Zongren Liu,China,Golden Sage,Active
Caffezin,Vinícius Bergling Coffoni,Brazil,Elevate,Active
Cali,Gage Meyer,United States,,Retired
Campar,Cameron Patterson,Australia,,Retired
Capi,Ignacio Del Rio,Argentina,,Retired
CaRazorARG,Octavio Sanchez,Argentina,,Active
CarryRubick,Vitali Pajvin,Russia,Redragon,Active
Casper,Brenden Marino,United States,,Retired
Caspere,Casper Elvelid,Sweden,,Active
Cathryan,Gökhan Saral,Turkey,Fenerbahçe Esports,Active
Ceryal,Andrew Vargas,United States,,Active
Ch1no,,Japan,,Active
Chambers,Sinchai Sotsiao,Thailand,,Active
Chambie,Brandon-Lee Ellis,South Africa,NIBBLE Esports,Active
ChanceL,Chance Lippie,United States,,Active
ChaNRiyo,,Japan,Team UNITE,Active
Chappie,Justin Andrews,United States,Cloud9,Retired
cheaterboi,Tyler Coetser,South Africa,DNMK Esports,Active
Cheeky,,Japan,SBI e-Sports,Active
chentric,Ricardo Miranda,Portugal,,Retired
Chikencio,Oscar Salvador Ojeda,Spain,,Retired
chipzy,Hogne Kjærstad Krogsæther,Norway,,Retired
chocoTaco,Jacob Throop,United States,Team SoloMid,Retired
