player_name,real_name,nationality,team,player_status
KIMCHILEE,James Lee,United States,Team Excedrin,Active
KIMCZU,Mikolaj Klimczyk,Poland,,Active
kinako,,Japan,Crazy Raccoon,Unknown
Kingg,,Australia,,Active
KingRichard,Richard Nelson,United States,NRG Esports,Retired
Kinnta,,Japan,,Active
Kisanss,Rizky Nugraha,Indonesia,NXL WOLFPACK,Active
Kissmyaug,Ian Carruccio,Argentina,,Retired
kiyo,Michał Bołtromiuk,Poland,,Retired
klache,Berkin Özer,Turkey,,Retired
kNd,Kenedy Oliveira,Brazil,,Active
Knitehawk,Khris Boyle,United States,,Retired
Knoqd,Logan Layou,United States,Cloud9,Active
Ko0416,Chi-Fung Ko,Hong Kong,,Retired
Ko0mbra,Håvard Lund,Norway,,Active
kolizeum,Victor Champoski,Brazil,,Active
Kontesti,Stanisław Janicki,Poland,,Active
Kontyan,,Japan,Radical Pop Gaming,Active
Kotigami,Jonathan Carlo,United States,,Active
KoToRi,,Japan,,Retired
Kouhia,Lauri Kouhi,Finland,,Active
kouhiraiwa,Kosuke Hiraiwa,Japan,,Active
Koyomi,,Japan,,Active
Kozay,Victor Törnbom,Sweden,,Active
Kr0noz,Álvaro Sebastián Bahamonde Betancur,Chile,,Retired
Kraftyy,Jesse Kraft,United States,Team SoloMid,Retired
Kralex,Hayat Bekzod Alex Ashurov,Turkey,ATK,Active
Krama,Dylan Catalano,France,AllPlanned,Active
Krapy,Liao Hsien-Ting,Taiwan,,Active
Kraulley,Bruno Martins,Brazil,Flawless Gaming,Active
KrEy,Kirill Buhanisty,Russia,nxblesse,Active
krezenn,Vadim Chernenkov,Russia,UpRising,Active
KrimNN-,Ariel Llanos,Argentina,,Active
Kripz,Umesh Kripalani,India,,Unknown
Kruhmmy,Edgar Figueroa,United States,start a fight eSports,Active
Kryp,Iván Cuesta Mendez,Spain,SUCCUBUS,Active
KSWINNIIE,Elwin Echeveria,France,69iQ eSports,Active
KTVSKY,Alexander Lyashkov,Russia,,Retired
Kuku,,China,LG,Active
Kurt,Kurtis Gallo,United States,,Retired
Kurtis,Kurtis Thom,Canada,,Retired
Kyaryneru,,Japan,ORTHROS,Active
kyoya,,Japan,Lag Gaming,Active
Kyraig,Kyle Craig,United States,,Retired
Kyrie,Tomás Ghilino,Argentina,,Retired
KzyyX,Sila Akepadcha,Thailand,grApe,Active
L1ng,Reichi Baba,Japan,Flora esports,Active
L8ef,,Japan,DeToNator,Retired
laggeRR,Corentin Sadoun,France,Solaris,Active
Lalab4ng,Nattakit Sukjaroen,Thailand,,Active
Lands,Dominik Zralý,Czech Republic,,Retired
Law,Dylan Martinez,Uruguay,,Retired
Lax,Elias Tannerfalk,Sweden,,Retired
Laxus,,Japan,,Active
Layn,Lane Carter,Canada,,Retired
LAZXR,Dennis Wadenfors,Sweden,,Active
LDraconiaN,Alperen Mehmet Özsoy,Turkey,Fenerbahçe Esports,Active
LEEYUN,,Japan,Northeption,Active
Legitlolly,Jordan Anthony Leigh Matthews,United Kingdom,Forg Gang,Active
Leia,,Japan,DeToNator,Retired
Lejetta,Kochi Naoto,Japan,Team UNITE,Active
Lelia,,Japan,,Active
Lemon,,Japan,ORTHROS FANG,Active
Lemona,,Japan,,Active
Leodeddz,Leo Nilsson,Sweden,,Retired
Leodkai,Leonardo Orfano,Argentina,Dood Esports,Active
Leogri3x6,Leonid Grishin,Russia,Gambit Esports,Active
Leon,Leon Ren,Australia,Chiefs Esports Club,Retired
LeoN,,Japan,ORTHROS FANG,Active
Lerabinou,Julien Verrier,France,Solaris,Active
Leviis,Aïssa Melih,France,Solaris,Unknown
lh0yd,Matias Aguirre,Argentina,,Retired
liemek,Iwo Tylus,Poland,,Active
Lifted,Isiaih Slowik,United States,,Retired
Linz,Lindsey Kingrey,United States,,Active
LionFYD,Atanas Dimitrov,United States,Team Pop-Tarts,Active
Liphnn,Aiden Young,United Kingdom,Phoenix Legacy,Active
LittleArif,Aiman Arif,Malaysia,Primis Komanda,Active
LLEVA,,Japan,,Retired
Logicly,Garrett Bowman,United States,,Retired
Lone,Tiaan Bezuidenhout,South Africa,,Active
Loopy,Levi Arnett,United States,,Active
Losido,Cole Garrett Stewart,United States,,Retired
LosJin,No Sol,South Korea,esports team αD,Active
lou,Trenton Clements,United States,Sentinels,Active
LowKey,Liam,Australia,,Active
Lowley,Philip Olsen,Denmark,,Retired
Luatyan,,Japan,,Active
LuluLuvely,Lindsey,United States,NRG,Active
Lumiii_N,Vladislav Dotsenko,Russia,DungeonMast33rs,Active
Lunnasy,Victor Manuel Cortez Varas,Chile,,Active
LuQi,Lucas Rodrigues,Brazil,,Active
Lusquinn,Lucas Pontes Pinheiro,Brazil,Fênix Team,Active
Lusy,,Japan,,Active
Lutziana,,Canada,,Active
Luxford,Daniel Castellano,United States,,Active
Lxrss,Lars Goossens,Netherlands,,Active
LyndonFPS,Lyndon Lauder,Canada,,Retired
lyric,Lyric Quinonez,United States,eUnited,Retired
M0,Mohammad Almahallawi,Saudi Arabia,NASR Esports,Active
M4KKUR0,Marco Perrone,Italy,Mutariuum,Active
Madillerr,,Japan,,Retired
MaestroJefe,Hugo Joquin Bavastro,Argentina,Nocturns Gaming,Active
maff,Jo Yong-jun,South Korea,,Active
Magpie,,Japan,,Active
Mainy,Kang Hyeon-jun,South Korea,Flora esports,Active
Maliwan,Alexey Rusinov,Russia,Team Empire,Active
Mamba,Sebastien Cabrera,United States,Counter Logic Gaming,Active
Mande,Mikkel Halle Hestbek,Denmark,SCARZ EU,Active
ManDi,Park Jae-geun,South Korea,REJECT,Active
Mange,Alberto Mangeruga,Argentina,,Active
Marreta,Thiago Martins,Brazil,,Active
Masanori,,Japan,,Active
Mask,Roger Boni,Italy,Morning Stars,Active
MaTaFe,Matej Fekonja,Slovenia,Guild Esports,Active
Mate,,Japan,,Retired
Matrixx,Iljas Amagow,Austria,,Retired
MatsuTasu,Keita Matsura,Japan,GameWith,Active
MattPickett,Matt Pickett,United Kingdom,start a fight eSports,Active
Maveriick,Julián Alfaro,Chile,,Active
Max-Strafe,Maksym Stadniuk,Ukraine,GMT Esports,Active
maydeelol,Rasmus Zettergren,Sweden,Kungarna,Active
MayN,Alexander Muhin,Russia,,Retired
mazida,Cory Sobon,United States,,Active
Meerko,Ryan Amato,United States,,Retired
Melocrit,Josue Velasco,United States,,Active
Meltcats,,Japan,,Active
Meltstera,Takamasa Kawai,Japan,GameWith,Active
Mendo,Lucas Håkansson,Sweden,Team Liquid,Retired
mercyonlyy,Josh Hanko,United States,Elev8 Entertainment,Active
MessiaH,,United States,,Active
Metro,Gabe Matthews,United States,Ghost Gaming,Active
MeXiouSx,Zidan Syahada,Indonesia,WEAREGODGAMERS,Active
Mezzenger,Jens Pettersson,Sweden,,Retired
Micah,Micah Haley,United States,,Retired
MicroFiberz,Hamoud Hajoos,Saudi Arabia,Flying Camels,Active
Midnight,Mike Ryan,United States,,Retired
Midnightson,Chay Chavez,United States,,Active
Mig_99,Miguel Angel Medina JR,United States,,Retired
miGGzy,,New Zealand,,Active
Mikage Yamato,Yamato Mikage,Japan,,Active
Mike,Leonel Ezequiel Diaz Alvarez,Argentina,Dood Esports,Active
Miken,Michael Turský,Czech Republic,,Retired
Mimu,Sebastian Vesala,Finland,Horizon Union,Active
Minds,Nattaphat Yammeng,Thailand,,Retired
MingYUE,,China,,Active
Mini,Jacob Bocanegra,United States,smile,Active
Minseong,Jung Min-seong,South Korea,REJECT,Active
Mirage,Tzu-Hsun Yang,Taiwan,,Retired
MiraTongue,,Japan,United Crew γ,Active
Misanthropy,Jovan Arfi Ramadhan,Indonesia,WEAREGODGAMERS,Active
MISTERARTHER,Artur Swerhun,Germany,,Active
Mistral,Luchoomun,France,,Active
Mithrain,Cem Karakoç,Turkey,,Retired
mlcak,Petr Lache,Czech Republic,,Retired
mo-mon,Oshima Yuta,Japan,FENNEL,Active
MoePork,Ethan Fish,United States,,Retired
mofferz,Eric Gleisner,Sweden,,Retired
Mohr,Marshall Mohr,United States,NRG Esports,Retired
Mondo,Na Dong-hoon,South Korea,Crazy Raccoon,Retired
Moni,Mitch Michalak,United States,,Active
Monsoon,Bowen Fuller,United States,Complexity Gaming,Active
Moohnee,Antonio V. Tello,United States,Team Intel,Active
MOOMAN,Jason Patterson,United States,,Retired
moose,Taylor Adams,United States,,Active
Moothie,Yoo Seung-Woo,South Korea,,Retired
Moro,,Japan,,Active
mosu,Supakorn Kaewpang,Thailand,ATHXHVY,Active
Mox600,Ruggero Mossenta,Italy,Morning Stars,Active
Mpé,Matthieu Pereira,France,AllPlanned,Active
MrAmi0,Muhammad Helmi bin Ruzaili,Malaysia,Perangai Esport,Retired
MrGreekGod,Athanasios Alestas,United States,Charlotte Phoenix,Active
mrhackulo,Josh Nguyen,United States,,Active
MrLCat,Laurynas Kautaskis,Lithuania,,Retired
MrTabu,Oğuz Yedikardeş,Turkey,1907 Fenerbahçe Esports,Active
msh,Stanislav Belov,Russia,,Retired
Muffins,Christopher Lee McCarthy,United States,,Active
mugiwara,Luca Meloni,Italy,Team Huskies Esports,Active
muhhn,Adam Mooney,Ireland,Vexed Gaming,Active
Mukai,Masaki Mukai,Japan,DeToNator,Retired
MUSCLE,,Japan,,Active
Musen,Octavio Lopez,United States,,Active
N0_CL1CK,Luis Gonzaga,Brazil,BreakingRulleZ,Active
N1KOLA,Nikola Svensson,Sweden,,Retired
N22JB,,Japan,,Active
N3LAS,Leandro Domingos Francisco,Brazil,Elevate,Active
nadeZZ,Joseph Lax,United States,Optimal Ambition,Active
Nafen,Nathan Nguyen,United States,NRG,Active
Naghz,Ali Naghawi,United Kingdom,69iQ eSports,Active
Nai,Abdullah Moustafa,Egypt,,Active
Nakahiro,Hiroki Nakayama,Japan,,Retired
Nan2,,Peru,,Active
Nand2o3,Nando Varriale,United States,RCO eSports Red,Active
NanoFRYS,Esteban Gomez,United States,Counter Logic Gaming,Active
naohiro21,,Japan,Riddle,Active
NaoriMizuki,Samantha Timms,South Africa,HSL Esports,Unknown
Narukami,Nick Howard,Canada,,Retired
Nasticle,Max Clelan,United States,,Retired
Nathanias,Nathan Lawrence Fabrikant,United States,,Active
Natsuu,Nicollas de Lima Roque,Brazil,,Active
NegMegs,,Japan,,Retired
nego1,Emerson,Brazil,,Active
Neokox,Pedro Wevar,Chile,,Active
Nesh,Herman Kobrin,Germany,,Active
Nestea,Bao-Yuan Hsu,Taiwan,,Retired
NexX,Dominik Scheerer,Germany,,Active
Nialling,Niall Keegan Ingram,South Africa,White Rabbit Gaming,Active
NiceWigg,Jack Martin,United States,100 Thieves,Active
NieBao,Yu-Lun Nieh,Taiwan,,Retired
Night,Daniel,Australia,,Retired
nightyz,Rui Silva,Portugal,,Active
Nikolarn,Nikola Aničić,Serbia,Team Singularity,Retired
ninexT,Nino Pavolini,Brazil,,Retired
NIRU,,Japan,,Active
Nisa,Federico Portolani,Italy,Morning Stars,Active
NiteNite,Daniel Caicedo Alvarez,Venezuela,LeaveNoWitness,Active
nitrahh,Adam Blombacke,Sweden,,Active
Niubie,,Taiwan,Welcome,Active
NLaaeR,Ilya Koppalov,Russia,,Retired
NMEgo,Jacobo Ríos,Mexico,,Active
Nocturn,Mikhael Kevin Lubis,Indonesia,,Active
NoI3a,,Japan,,Retired
Noiises,Cameron Walker,United Kingdom,Invictus Gaming International,Active
Noiz,Uri Takahashi,Japan,,Retired
Nokokopuffs,Christian Feliciano,United States,TSM,Active
Noobles,Josh,Australia,,Retired
nOOK,Joshua Nice,United Kingdom,,Retired
noted,Vinícius Mancinni,Brazil,,Retired
Noth,Alexander Selfwin,Sweden,Rebel,Active
Nottin,Noto Yasuhito,Japan,,Active
Novak,Valter Pires da Costa Junior,Brazil,Skull Cracker,Active
Noxious,,Australia,,Active
Nozwer,Agustin Ibarra,Argentina,,Retired
NutsuruSama,Pat Saejew,Thailand,ATHXHVY,Active
Oatto,Weeraphon Suaroj,Thailand,,Retired
Obly,Lim Jung-hyun,South Korea,esports team αD,Active
obo,,Japan,ZETA DIVISION,Active
oDangoDang,James Han,United States,,Retired
OddFluffy,Melvin Johansson,Sweden,,Active
OddFreestyle,,United States,,Active
odevil,,Japan,Servelal,Retired
oh Nocturnal,Brandon Singer,United States,Team Liquid,Active
ohaaiii,Riley Nguyen,United States,,Retired
oisenpai,Irvin Eflego Jaramillo,United States,,Active
ojrein,Svyatoslav Korochinsky,Russia,K1CK,Active
okame,,Japan,,Retired
Okie,Phudit Suthanyaphruet,Thailand,,Active
OLDIS,Danila Chechnev,Germany,,Active
Olsior,Mykhailo Zvieriev,Ukraine,,Active
omega,Andrea Carducci,Italy,Totem Esports,Retired
OMM,Osmar de Matos Marques Filho,Brazil,,Active
OnisoaZ,Sergey Mischenkov,Russia,,Active
Onmuu,Brendan Pode,United States,100 Thieves,Active
OnRogue,Chia In Long,Malaysia,,Retired
onscreen,Craig Shannon,United Kingdom,,Retired
Onset,Mark Hatcher,United Kingdom,,Active
oraxe,Matthieu Ribiere,France,,Active
Osnazeni,Ivan Markeljic,France,,Active
Otogi,Sawazaki Hirotaka,Japan,FENNEL,Active
ottr,Otto Boström,Sweden,,Active
Overpowered,Timothy Liang,United States,,Retired
OWO,,Taiwan,StinkyB,Active
Oxbow,Oisin O'Brien,Ireland,,Active
OxyAres,Jake Nofchissey,United States,eRa Eternity,Active
Oziko,,Japan,Northeption,Active
P1NKI,,Japan,,Retired
P1NNGA,Rodrigo Castanho,Brazil,Blackhat Esports,Active
Pachi,,Japan,,Active
Pacl,Nikita Paklinskii,Russia,,Retired
Padiwan,Radwan Yahya,United States,,Retired
Pandxrz,Scott Maynard,United States,FURIA Esports,Active
PANIC,Jose Fernandez,Argentina,LeaveNoWitness,Active
Pannys,Pasavit Svasti-Xuto,Thailand,,Retired
Pantashia,Futo Minami,Japan,,Retired
Paradox,Jamie Hall,United Kingdom,,Retired
ParallaxStella,Stella Chung,United States,,Unknown
Park,Park Yu-hyeon,South Korea,,Active
Parkha,Oh-Jeong-teak,South Korea,esports team αD,Active
Parks,Shane Parker,Canada,,Active
PatEmre,Kerim Emre Akkaya,Turkey,,Retired
Pawsanss,Risaldi Adil,Indonesia,,Retired
Payne,Morgan Redfield Jr.,United States,,Retired
PDS,Guilherme Pullin,Brazil,,Active
peesh,Peyton Schutz,United States,,Active
Penso,Phạm Thịnh Trung Tín,Vietnam,,Retired
Persia,Yang Zi-on,South Korea,,Retired
Pettyboss,Peter Archer,United States,Team Intel,Active
Petwirez,Eros Mazzara,Italy,,Active
pfitter,Devon Self,United States,Lazarus,Active
phantasy,Mark Pinney,United Kingdom,,Retired
phods,Philip Lundius,Sweden,,Active
Phony,Josue Daniel Ruiz,United States,Team VIZIO,Active
Pinky,,Japan,Sengoku Gaming,Active
PinkyFinkyTinky,Umut Zeytünlü,Turkey,Fenerbahçe Esports,Active
PinOcChiOs,Teerasak Kedaim,Thailand,,Retired
PinoNolR,,Japan,LEDIAN MAGICAL,Active
Pinotr,Tsurumaki Miki,Japan,FENNEL,Active
pistachio,Christian Turner,United Kingdom,,Retired
Pistillo,Steven Rojas,Mexico,Estral Esports,Inactive
Pite,,China,DreamFire,Active
Piwd,Davi Correa,Brazil,Flawless Gaming,Active
Pjeh,Martin Heggøy Aamyri,Norway,Rebel,Active
pkmk,Artem Nechaev,Russia,Redragon,Active
PlayerK,Ethan Foo,Australia,,Active
Plomme,Steinar Solli,Norway,,Active
PlushkaHDD,Rostislav Yuryevich Chertovskikh,Russia,DungeonMast33rs,Active
Poachy,Erikas Kiudys,Lithuania,,Active
Pokamafu,,Japan,,Active
pOkiz,Vinicius Zanquetta Costa,Brazil,,Active
Pomelo,Su Jia-Yi,China,,Retired
Poro,Suk Nam-woo,South Korea,,Retired
PostKiLL,Rafael da Silva Jesus,Portugal,Acend,Active
Potqtq,,Japan,SBI e-Sports,Active
POW3R,Giorgio Calandrelli,Italy,Fnatic,Retired
PowPow,Christian Blaylock,United States,Renegades,Active
PP,,China,DNZ,Active
Preslyy,Preston Stinson,United States,Elev8 Entertainment,Active
ProdigyAces,Jose Soto,United States,Team Superior,Active
Promo_z,Damien Starovoyt,United States,,Active
Prote,Alejo Nahuel Garcia,Argentina,,Active
Protectful,Douglas Roberts,United States,Oxygen Esports,Active
PRV,Perycles Ryan,Brazil,,Active
Prycyy,Dylan Price,Australia,Team Burger,Active
Psycle,Daniel Jesus,Portugal,,Retired
Psykho,Anthony Vicente,United States,Totem Esports,Active
Puleule,Nahuel Pulella,Argentina,,Retired
PVPX,Jamison Moore,United States,Cloud9,Active
PyaN,,Japan,,Active
pyradice,Tobias Hellesvik,Norway,,Active
QHorm,Chen Yi-Qi,China,,Retired
qKobyy,William Vernhet,France,Hexagon,Active
QTSati,Manuel Ramos Sanchez,Belgium,,Active
QUERNI,Patryk Zagumny,Poland,T-Rex,Active
Quinha,Lucas Vinícius Bueno Santos,Brazil,,Active
R1stom,Roman Istomin,Russia,,Active
r3flex,Aiman Hakim,Malaysia,MBT.NAGA,Active
Radek,Radek Pozler,Czech Republic,,Retired
Raiden,Maksim Babushkin,Russia,,Retired
Raitchi,,Japan,BEXT e-Sports,Active
Rakiiii,Lachie Bruke,Australia,,Active
Rakkinishu,Mason Gursin,United States,Ghost Gaming,Active
RamBeau,Beau Sheidy,United States,Torrent,Active
Ran,Chen Bo-Ran,China,,Retired
RANCHES,Kirill Rulin,Russia,Team Empire,Active
Rapi,,Japan,,Active
RapidFire,Min-Chi Chung,Taiwan,,Retired
Ras,Song Hong-gyun,South Korea,Crazy Raccoon,Active
raven,,United States,,Active
Raygh,,Japan,Pro Gaming team Selector,Active
Raygo,Kirill Ohapkin,Russia,,Active
Raynday,Evan Byron Rayn,United States,,Active
Readdin,Herman Reithaug,Norway,,Active
Reco,James Glasson,Australia,EXO Clan,Active
Recry,Jung Taek-hyun,South Korea,D4RK Esports,Active
Reflections,Taylor Noble,United States,,Active
Renazera,Gaston Renato Fernandez,Argentina,LeaveNoWitness,Active
Reps,Jordan Wolfe,United States,TSM,Active
Reptar,Ryan Boyd,United States,Complexity Gaming,Active
Resookie,Jeff Voss,United States,,Active
Restya,Ren-Hong Wang,Taiwan,,Active
Resultuh,Jordan Resulta,United States,G2 Esports,Active
rette,Aaro Hälli,Finland,,Active
retzi,Nathan Telen,United States,,Retired
Rex,,Taiwan,,Active
reyn,Reyn Seki,United States,,Retired
Reyzyyy,,Japan,Fascination Colors Destroy,Active
Rhythm,João Victor,Brazil,,Active
RianNF,Florian Schmidt,Germany,,Active
Ricoysuavecito,Sebastian Kosmach,Argentina,,Active
RIZE,,Japan,,Active
Rkn,Cole Prommel,United States,Torrent,Active
robbeN,Geoffrey C.,France,,Active
rocker,Aidan Grodin,United States,NRG,Active
RockStarx1,James Grieve,United States,,Active
Rogerboger,Rogier Jongen,Netherlands,,Retired
Rogue,Tanner Trebb,Canada,NRG,Active
Roieee,Po-Han Chen,Taiwan,K7 Esports,Active
Rolders,Adam Harrold,United States,,Active
Ronba,Roni Raikko,Finland,,Retired
rondon,Adam Hodoši,Slovakia,Game of Drones,Active
RONN1E,Ronnie Monsevias,United States,Atlanta Premier,Active
roots,Tim Roots,Australia,,Active
Rossoful,,Japan,TEQWING,Active
row,Romain Daly,France,Forg Gang,Active
RoZx,Roszaidi,Malaysia,Perangai Gaming,Retired
rpr,Dan Ušić,Croatia,SCARZ EU,Active
Ru,,Japan,Take It Easy,Active
Ruabbe,Roope Kurkela,Finland,Horizon Union,Active
Rudenayyyyy,Naythame Nguyen,Australia,,Active
Rui,,Taiwan,ANT Esports Club,Active
Rumad,,Japan,SCARZ White,Retired
Rynex,Leonardo Felipe,Brazil,BreakingRulleZ,Active
Ryot,Troy Reed,United States,,Retired
S16oz,Jaden Pettigrew,United States,,Retired
S2HR,Saher Kurdi,Saudi Arabia,Osh-Tekk Warriors,Active
SA,,China,DNZ,Active
SabroNN,Hüseyin Demir,Turkey,,Retired
Sabz,Kornelia Zawistowska,Poland,Phoenix Legacy,Active
Sadyama,Artur Karamov,Russia,,Active
sAgiiV2,Kerem Açikel,Turkey,Lava City Boys,Active
SAIBER,Tanaphan Wattanaphan,Thailand,Inside The Ring,Active
SaiyajinGOD,Kantapat Tangteekarak,Thailand,ATHXHVY,Active
Sakamoto,,Japan,,Active
saku,Shotaro Sakata,Japan,Team UNITE,Active
Salvatorez,Fajar Rofianto,Indonesia,Method2Madness,Active
Samaeeel,Athoriq Hamzah,Indonesia,,Retired
sano874,Kazumoto Sano,Japan,Donuts Unsold Stuff Gaming,Active
Sanya,Oleksander Bokuchava,Ukraine,Natus Vincere,Active
Sapoten,,Japan,Donuts USG,Retired
Sardis,Miroslav Hájek,Czech Republic,,Retired
satuki,,Japan,United Crew γ,Active
Sauceror,Jason Li,United States,Renegades,Active
savINSANO,,Brazil,,Active
SaviourHeavier,Zavier Ng,Singapore,,Active
Sc1ss0rs,Ryan Luong,United States,Team VIZIO,Active
Scannor,Castiel Rodriguez,Colombia,,Active
Scare,Keegan Van Vuren,South Africa,,Retired
scuwry,Alex Scala,Canada,100 Thieves,Active
Seaf,,Japan,,Retired
SeaLL,Riccardo Giacalone,Italy,Team Huskies Esports,Active
Secul0,Luis Miguel,Brazil,,Active
Selly,An Jeong-hwan,South Korea,Crazy Raccoon,Active
Senapoppo,,Japan,AVALON Gaming,Active
senoxe,Adam Lau,Canada,Sentinels,Active
Senvelse,Denis Podan,Russia,FIGVAM,Active
Senzeeh,Joshy Djotaroeno,Netherlands,,Active
Senzz,Marcos Cunha,Portugal,Acend,Active
Sepz,Serena Capó,Brazil,,Active
sErox,Patrick Pollap,Germany,,Retired
Seven ik,Danny Kraus,United States,,Retired
Sgong,Oh Dong-wah,South Korea,,Active
SH1NYA,,Japan,,Active
Shadez,Jakob Anderz Palmgren,Sweden,Clique Esports,Active
ShadowCat,Abdullah Hassan Al Talhi,Saudi Arabia,25 Esports,Active
ShadowZS,Nikolay Ivanov,Russia,UpRising,Active
Shakabo,,Japan,FENNEL,Active
Shake,Yu Jin-hyeong,South Korea,,Retired
Sharky,Rick Wirth,Australia,Team Burger,Active
Sherry,,Japan,,Active
Shex,Federico Trevisan,Italy,Outplayed,Active
ShibuyaHAL,Shibuya Hal,Japan,Knot Not Rank,Retired
Shikaa,Nicolas Agurto,Argentina,,Active
shineZ,Benjamin Brkic,Bosnia and Herzegovina,,Retired
Shirayuki Reid,白雪 レイド,Japan,Neo-Porte,Unknown
ShivFPS,Shivam Patel,United Kingdom,Luminosity Gaming,Active
shoh,Takita Shota,Japan,,Retired
Shohei Taguchi,田口尚平,Japan,UUUM,Active
shomaru,,Japan,REJECT,Retired
ShRP,Dennis Fratantonio,Italy,Totem Esports,Active
Shuhei Yamato,Shuhei Yamato,Japan,,Active
ShunMi,,Japan,Flora esports,Active
Shurae,,South Korea,,Retired
Shurimawizard,Nhan Le,Vietnam,,Retired
Shusty,,Thailand,,Active
Shy,Jamie Duell,United Kingdom,,Retired
ShynkChan,,Japan,ALViViD,Active
Sickks,Tyler Clifton Clark,United States,Ghost Gaming,Active
Siebakk,Dominik Szałapski,Poland,,Retired
sigluss,,Japan,Fascination Colors Destroy,Active
siigN,Per Stian Venås,Norway,,Retired
silkthread,Ted Z Wang,United States,,Retired
Silta,Juho Sillanpää,Finland,Guild Esports,Active
Silver Sky,Farrel Khezia Ramanda,Indonesia,,Retired
Sineska,,Germany,69iQ eSports,Active
SirDel,Matthew Biggins,United Kingdom,GMT Esports,Active
SirLifty,Braden Wells,United States,,Active
Siukun,,Japan,,Active
SiveN,Gianluigi Sassano,Italy,Rascals,Active
skaluh,Agustín Aiello,Argentina,LeaveNoWitness 2,Active
Skannella,Federico Raffaeli Albo,Italy,,Active
SkittleCakes,William August,United States,Esports Arena,Active
SkrrttSkrttt,Ethan Koong,Australia,,Active
Skurul,Alexander Vincent Philip Mittelsteiner,Austria,,Retired
Skym,,Japan,Nowhere Now Here,Active
Slayers,Joe Byrne,United Kingdom,69iQ eSports,Active
SleeeP,Pedro Henrique,Brazil,Elevate,Active
SleepyPanda,Devihn Lindsey,United States,RCO eSports,Active
Slempy,Nikita Makogon,Estonia,,Active
slimer,Dmitry Shaposhnikov,Belarus,,Retired
SlurpeeG,,United States,,Active
SMAX,Rattanarak Kohkaklang,Thailand,,Retired
SMEGGYTOE,Benjamin Stringer,United Kingdom,,Retired
Smythj,Jame Markus Tapani Trygg,Finland,Lazarus,Active
SneakyMonkey,Devin Nelson,United States,,Active
Snip3down,Eric Wrona,United States,,Retired
snookenn,Ilya Lagutin,Russia,,Active
snoupii,Max Decker,United States,,Active
Snoxf,Danuwat Thabthongdi,Thailand,,Retired
So0me1ne,Ewen Xiong,France,,Retired
Solve,Kyle Concienne,United States,Elev8 Entertainment,Active
SonGokuJ5,Cláudio Marassi,Brazil,Paradox Esports,Active
SonicTheLedgePog,Chris,Australia,,Active
Sonii,Michael Sherman,United States,T1,Retired
Souta,Bruno Souta Terencio,Brazil,Digital Gaming,Active
SpaceBud,Lucas Basilis,France,,Retired
Speedhack,Sean Schuler,United States,,Retired
Spica,,Japan,SchwarzerLand,Active
Spirit,Adam Wells,United States,,Retired
SPK,Shunsuke Ito,Japan,RIG North,Active
Splash,,Japan,,Inactive
Spongeetl,Michi Rouse,Mexico,,Active
SSLCK,Jim Anderson,United States,,Active
Stalizy,Jackes Cardoso,Brazil,Xen,Active
stanjke,Stanislav Ostapushchenko,Ukraine,,Active
Stanyyy,Mikhail Nikolaev,Russia,Magicians,Active
StarWraith,Rodolfo Martin,Spain,,Retired
StayNaughty,Paris Gouzoulis,United States,Cloud9,Active
STEEEAL,Yashima Kohei,Japan,,Retired
stermy,Alessandro Avallone,Italy,,Retired
Stink,Charles Stephens,United States,Charlotte Phoenix,Active
Stompez,Seth Burress,United States,Dexterity,Active
stormen,Ludvig Storm,Sweden,,Active
StrafingFlame,,Indonesia,Primis Komanda,Active
strafy,Alessio Menzano,Italy,,Retired
Streamiii,Loris Bilardi,Italy,,Active
Stressado,Felipe Melo,Brazil,Paradox Esports,Active
Stroke,Nicola Gravina,Italy,HIGHSCORE,Active
Stuhni,Marco Paramo,United States,,Active
Sty1e,Goo Gyo-ik,South Korea,,Active
StyleS,Jonas Jensen,Denmark,,Active
SudetakiN,,Japan,ZETA DIVISION,Retired
Suezw,,Japan,,Active
Summer,Jake,United States,Counter Logic Gaming,Active
Sunday,Kim Min-soo,South Korea,Crazy Raccoon,Active
Sung,Tommy Nguyen,China,Dexterity,Active
SUNSERIES,Worapon Kamonwarin,Thailand,,Active
Sunset,Danila Soloviov,Russia,ZETA DIVISION,Active
SunWoo,,South Korea,,Active
SurpriZee,Wahyu Nugroho,Indonesia,GOB Akademi Rumah Herbet,Active
suwagh,Lucas Gonçalves Mendes Dias,Brazil,,Active
Sven,,China,Meteor,Active
SWAGLOPE,Ismael Sanz Bejerano,Spain,,Retired
sweetdreams,Christopher Sexton,United States,NRG,Active
Sweezy,Honza Kulich,Czech Republic,,Retired
sYnceD,Timothy Putrow,United States,Built By Gamers,Active
SynchroRios,Teenart Khamkorn,Thailand,Overclock Esport,Active
Szalami1,János László Hunyadi,Hungary,,Active
t23tatsu,,Japan,V3 VEGA,Active
t3nshy,Luke Webber,South Africa,NiBBLE Esports,Active
Taesik,Ji Yong-jun,South Korea,,Retired
Taisheen,Can Öztürk,Germany,SCARZ EU,Active
Takkayan,,Indonesia,,Active
TannerSlays,Tanner Roach,United States,,Active
Tantan,,Japan,,Active
TANX,Pornpawit Suntornsong,Thailand,,Retired
Tararelux,,Japan,Good 8 Squad,Retired
Tari3,,Japan,Lag Gaming,Active
taskmast33r,Lev Grigoriev,Russia,ZETA DIVISION,Active
Taxi,Svend-Erik Høegh,Denmark,,Active
